Source,Leader,Target,Team type,Level,Color,HL_description
Wholesale Banking,Perry Pelos,Investment Portfolio,Team,5,black,n/a
Finance,Mike Santomassimo,Investment Portfolio,Team,5,Black,n/a
Finance,Mike Santomassimo,Infrastructure,Team,5,black,n/a
Investment Portfolio,Tim Mullins,Finance,Team,4,blue,"The Wells Fargo Investment Portfolio (“IP”) comprises the Credit Investment Portfolio (CIP), the Macro Investment Portfolio (MIP), and Reinsurance business. Reporting to Enterprise Finance, IP manages the entire $454.3B1portfolio of AFS and HTM investments and cash"
Investment Portfolio,Tim Mullins,ALM Risk,Partner,4,blue,"The Wells Fargo Investment Portfolio (“IP”) comprises the Credit Investment Portfolio (CIP), the Macro Investment Portfolio (MIP), and Reinsurance business. Reporting to Enterprise Finance, IP manages the entire $454.3B1portfolio of AFS and HTM investments and cash"
ALM Risk,n/a,Investment Portfolio,Partner,4,blue,n/a
Investment Portfolio,Tim Mullins,Technology,Partner,4,blue,"The Wells Fargo Investment Portfolio (“IP”) comprises the Credit Investment Portfolio (CIP), the Macro Investment Portfolio (MIP), and Reinsurance business. Reporting to Enterprise Finance, IP manages the entire $454.3B1portfolio of AFS and HTM investments and cash"
Technology,n/a,Investment Portfolio,Partner,4,blue,n/a
Investment Portfolio,Tim Mullins,IP Control,Partner,4,blue,"The Wells Fargo Investment Portfolio (“IP”) comprises the Credit Investment Portfolio (CIP), the Macro Investment Portfolio (MIP), and Reinsurance business. Reporting to Enterprise Finance, IP manages the entire $454.3B1portfolio of AFS and HTM investments and cash"
IP Control,n/a,Investment Portfolio,Partner,4,blue,n/a
Investment Portfolio,Tim Mullins,Financial Planning and Analysis,Partner,4,blue,"The Wells Fargo Investment Portfolio (“IP”) comprises the Credit Investment Portfolio (CIP), the Macro Investment Portfolio (MIP), and Reinsurance business. Reporting to Enterprise Finance, IP manages the entire $454.3B1portfolio of AFS and HTM investments and cash"
Financial Planning and Analysis,Tim Mullins,Investment Portfolio,Partner,4,blue,n/a
Investment Portfolio,Tim Mullins,Securites Operation and Accounting,Partner,4,blue,"The Wells Fargo Investment Portfolio (“IP”) comprises the Credit Investment Portfolio (CIP), the Macro Investment Portfolio (MIP), and Reinsurance business. Reporting to Enterprise Finance, IP manages the entire $454.3B1portfolio of AFS and HTM investments and cash"
Securites Operation and Accounting,Tim Mullins,Investment Portfolio,Partner,4,blue,n/a
Investment Portfolio,Tim Mullins,Wholesale Banking,Team,4,blue,n/a
Investment Portfolio,Tim Mullins,Infrastructure,Co-Team,4,blue,n/a
Infrastructure,Meredith Innes,Finance,Team,4,blue,n/a
